epoch,train_err
<<<<<<< HEAD
1,0.40760617504803554
2,0.16647263158891065
3,0.08675734257129605
4,0.04220499569336779
5,0.019412972901344996
6,0.010326452186917303
7,0.006426820380308752
8,0.004060538944259874
9,0.00212965329244399
10,0.0015049549933270864
11,0.0005584424189075352
12,0.0001609071376513237
13,0.0
=======
1,0.4066501973478718
2,0.16401169889541983
3,0.08273466413001297
4,0.04032143567027288
5,0.02028376446981098
6,0.011509592904941742
7,0.007572100595356409
8,0.004988121267191035
9,0.0029909797351657815
10,0.0019308856518158843
11,0.0006246982991169038
12,0.000388070155512016
13,0.00015144201190712817
>>>>>>> 0b9ae29067b4cb638361150ce318cabb35c8f587
14,0.0
15,0.0
