epoch,train_err
<<<<<<< HEAD
1,0.4073127561499654
2,0.1629800001893025
3,0.08299022252510625
4,0.04240376333399589
5,0.02022697371534581
6,0.01047789419882443
7,0.006180727110959669
8,0.004088934321492461
9,0.0021485835439323813
10,0.0013819083586525448
11,0.0005679075446517307
12,0.0003786050297678205
13,8.51861316977596e-05
=======
1,0.4061580108091736
2,0.16486356021239743
3,0.0820531750764309
4,0.041684413777437035
5,0.020965253523393058
6,0.010960615611778402
7,0.005906238464377999
8,0.0042214460819111985
9,0.0019498159033042755
10,0.0012493965982338076
11,0.000407000407000407
12,0.00019876764062810574
13,0.00011358150893034614
>>>>>>> 66b4022f6423a9cf70811197b4a4997b50516d4a
14,0.0
15,0.0
