epoch,train_loss
1,7.234859399106753e-05
2,6.754308731085131e-05
3,6.316777694344463e-05
4,5.930091692196708e-05
5,5.6233284452567636e-05
6,5.399071808401844e-05
7,5.243503172852714e-05
8,5.117959807302076e-05
9,5.004793186425077e-05
10,4.89769353741197e-05
11,4.787293053271581e-05
12,4.678492138638429e-05
13,4.563634188505509e-05
14,4.4523843850028035e-05
15,4.348919297904452e-05
16,4.250210851977851e-05
17,4.165270985695504e-05
18,4.084703881251258e-05
19,4.007426589551664e-05
20,3.9407891375158896e-05
21,3.876780897497114e-05
22,3.8150378611269214e-05
23,3.75882161172087e-05
24,3.706189822810894e-05
25,3.656521707883503e-05
26,3.6079674741837996e-05
27,3.562946310796022e-05
28,3.515425494225597e-05
29,3.475055848591607e-05
30,3.4373672688322496e-05
31,3.397711907795249e-05
32,3.35947925920957e-05
33,3.324413847844747e-05
34,3.291032525024798e-05
35,3.2582439135532395e-05
36,3.228184374029225e-05
37,3.201134899637084e-05
38,3.173873755654251e-05
39,3.144507628368307e-05
40,3.1194171762157496e-05
41,3.0961679300435195e-05
42,3.07157152463437e-05
43,3.0509107753632618e-05
44,3.027390174420946e-05
45,3.0070216725535394e-05
46,2.9900241333428286e-05
47,2.970403792445132e-05
48,2.9491588419089603e-05
49,2.9302259119392777e-05
50,2.9146337141728416e-05
51,2.8978048137140422e-05
52,2.8799412223461424e-05
53,2.8646393785030903e-05
54,2.849898278101671e-05
55,2.833523598712507e-05
56,2.81911361495181e-05
57,2.8054786693558336e-05
58,2.791173944765414e-05
59,2.7809844016952646e-05
60,2.7648296472241542e-05
61,2.7529335089334014e-05
62,2.738936154906985e-05
63,2.7264628718269326e-05
64,2.7154687274405692e-05
65,2.7028021824309005e-05
66,2.6923029839266443e-05
67,2.6788131505014826e-05
68,2.6685399496275277e-05
69,2.6607889685545292e-05
70,2.6503894069591606e-05
71,2.6417779078395097e-05
72,2.6291774266049424e-05
73,2.6179566516651547e-05
74,2.608029218103653e-05
75,2.6003233737933076e-05
76,2.5911490923027998e-05
77,2.5831337239031182e-05
78,2.5742754244334207e-05
79,2.5632410268416477e-05
80,2.5534554438694086e-05
81,2.5455847098629204e-05
82,2.537648033729508e-05
83,2.529716860853834e-05
84,2.5213708967849696e-05
85,2.5129780073726493e-05
86,2.5070717468544793e-05
87,2.498346490822344e-05
88,2.489768294213362e-05
89,2.4835800946522134e-05
90,2.4757685574693953e-05
91,2.4674360249459676e-05
92,2.4613688626762343e-05
93,2.4527828426790685e-05
94,2.4468263511604637e-05
95,2.4390552549443715e-05
96,2.4320860361831425e-05
97,2.4256076942606566e-05
98,2.4168410566921965e-05
99,2.4137779926231118e-05
100,2.4032897644924828e-05
101,2.400505441353438e-05
102,2.3941067058215643e-05
103,2.387916089164033e-05
104,2.381453104001608e-05
105,2.3743104995650462e-05
106,2.369294461286387e-05
107,2.3627448573330122e-05
108,2.359453361788581e-05
109,2.354086409069175e-05
110,2.343319884288804e-05
111,2.3401491792134003e-05
112,2.3332328730015474e-05
113,2.32837855186984e-05
114,2.323055455962705e-05
115,2.3186959246860954e-05
116,2.3129317809727636e-05
117,2.3083179503530616e-05
118,2.305205304955327e-05
119,2.3014483455814987e-05
120,2.2960628133068542e-05
121,2.2897488753693128e-05
122,2.2833847205354725e-05
123,2.2800384471696208e-05
124,2.2770483808217163e-05
125,2.2714201145958633e-05
126,2.266643026833812e-05
127,2.2631668499637733e-05
128,2.256236875962198e-05
129,2.252332533651587e-05
130,2.2510829697498046e-05
131,2.245540226599802e-05
132,2.241002563605946e-05
133,2.2373254424594725e-05
134,2.2309138492442137e-05
135,2.23000109829126e-05
136,2.224705266561379e-05
137,2.219786285897655e-05
138,2.217334856520525e-05
139,2.212552671876166e-05
140,2.2081104841894383e-05
141,2.2048905521518127e-05
142,2.2034198274570203e-05
143,2.1944173308223596e-05
144,2.1950387696521593e-05
145,2.1887874241091364e-05
146,2.1847630600049344e-05
147,2.1823014888721926e-05
148,2.178740459754294e-05
149,2.1738035527331505e-05
150,2.1700214580251627e-05
151,2.1660412178303152e-05
152,2.1633640640905272e-05
153,2.1614442557577997e-05
154,2.1560708512774797e-05
155,2.1534346180450568e-05
156,2.1486604242755017e-05
157,2.143432049104195e-05
158,2.1402028947243527e-05
159,2.1378509559256946e-05
160,2.1346068282420003e-05
161,2.1314173479164644e-05
162,2.1288914063865038e-05
163,2.1241641635241516e-05
164,2.1230738987914297e-05
165,2.118127939559215e-05
166,2.116856989379042e-05
167,2.1119485145339516e-05
168,2.110263474841376e-05
169,2.1066953337126755e-05
170,2.1033421078890655e-05
171,2.1008565094783842e-05
172,2.0938485678105496e-05
173,2.0917843719070165e-05
174,2.0905097308506377e-05
175,2.0878804086450722e-05
176,2.0828353757879196e-05
177,2.0831521952418313e-05
178,2.077746101780778e-05
179,2.076066189823308e-05
180,2.0703479471405228e-05
181,2.0701966441353174e-05
182,2.065316827132463e-05
183,2.063082255905219e-05
184,2.0605084643293568e-05
185,2.0577021061216447e-05
186,2.056405854883709e-05
187,2.0516268374994904e-05
188,2.0482261565457995e-05
189,2.0485744158828608e-05
190,2.0454709954718686e-05
191,2.040744597094686e-05
192,2.0409609175243703e-05
193,2.0371222052866642e-05
194,2.0337176518660114e-05
195,2.030151861720554e-05
196,2.026839900192635e-05
197,2.0258735834924864e-05
198,2.0231370231299987e-05
199,2.020455716603537e-05
200,2.018622750083417e-05
201,2.0172260791570213e-05
202,2.0135573464456975e-05
203,2.0131057760722052e-05
204,2.0078844141827453e-05
205,2.0032708991430964e-05
206,2.0044139494879664e-05
207,1.9977255176380703e-05
208,1.998039027908969e-05
209,1.9951995461368195e-05
210,1.993635732378484e-05
211,1.992487983593161e-05
212,1.9904469405111082e-05
213,1.985805545119745e-05
214,1.9836667259933065e-05
215,1.9829054790295025e-05
216,1.9819753799887237e-05
217,1.9778420720085983e-05
218,1.975985174294968e-05
219,1.9704551848103445e-05
220,1.9693917690643595e-05
221,1.9682085871622566e-05
222,1.9647270516018782e-05
223,1.9640038091152298e-05
224,1.9595242630970973e-05
225,1.9579072626402332e-05
226,1.9545328964791117e-05
227,1.9544467783850055e-05
228,1.9502245605732662e-05
229,1.9493066774776644e-05
230,1.9463924279152112e-05
231,1.947429862960359e-05
232,1.9436759412649167e-05
233,1.9409934667396556e-05
234,1.9391170585977816e-05
235,1.9374581759077487e-05
236,1.9338326961753543e-05
237,1.9339273463905006e-05
238,1.931331116896574e-05
239,1.9276957528090583e-05
240,1.9269297077943383e-05
241,1.9231732226720974e-05
242,1.922211823908025e-05
243,1.920531973656152e-05
244,1.9191909338514315e-05
245,1.9150208898849222e-05
246,1.9114455706322802e-05
247,1.912307161474811e-05
248,1.9131497108516345e-05
249,1.908176912329277e-05
250,1.9058999669871055e-05
251,1.902212258923214e-05
252,1.901710771366323e-05
253,1.8995447709244325e-05
254,1.8986143025315804e-05
255,1.896665065036655e-05
256,1.894768562026383e-05
257,1.893925901579485e-05
258,1.89005853943312e-05
259,1.888839890916913e-05
260,1.8871363695165455e-05
261,1.885868600700649e-05
262,1.882030808757846e-05
263,1.879914938824418e-05
264,1.8784408758568316e-05
265,1.8778943317545633e-05
266,1.8750728107186663e-05
267,1.8728837861555406e-05
268,1.873305192188723e-05
269,1.8689571540202976e-05
270,1.867091650138911e-05
271,1.866221967048096e-05
272,1.8639530919164957e-05
273,1.861832208844071e-05
274,1.8611414993111464e-05
275,1.855607085535222e-05
276,1.855315303568023e-05
277,1.8555453050100573e-05
278,1.8523568754426865e-05
279,1.8497250012699334e-05
280,1.8501531102939603e-05
281,1.8483193266154354e-05
282,1.8452301381596233e-05
283,1.844121511604269e-05
284,1.844506363241824e-05
285,1.8415915001494358e-05
286,1.8390489148569633e-05
287,1.837259232168571e-05
288,1.8338346261919297e-05
289,1.8349905721250515e-05
290,1.8323531973390856e-05
291,1.8329464525782373e-05
292,1.830897539388049e-05
293,1.8254079608988616e-05
294,1.825495480591527e-05
295,1.821073902574177e-05
296,1.8208699902585293e-05
297,1.819777483849621e-05
298,1.8191179426952194e-05
299,1.8159952154844532e-05
300,1.8145686292439067e-05
301,1.8140809112909728e-05
302,1.8114380050389952e-05
303,1.8121235524579814e-05
304,1.8079803345589877e-05
305,1.8066768311503943e-05
306,1.804940366013329e-05
307,1.8044671131745805e-05
308,1.802247479990847e-05
309,1.8046114936933177e-05
310,1.7996465732126725e-05
311,1.7982394687513424e-05
312,1.794900684681942e-05
313,1.7950231244534246e-05
314,1.794574117506731e-05
315,1.7929071540280248e-05
316,1.78835039050739e-05
317,1.787854043026724e-05
318,1.786611253077223e-05
319,1.7849245072248917e-05
320,1.785386410641346e-05
321,1.7820158913834395e-05
322,1.7793987542702524e-05
323,1.7789914074165787e-05
324,1.7769185251280135e-05
325,1.776901815252362e-05
326,1.7756231924219637e-05
327,1.7742850748180125e-05
328,1.773315629644099e-05
329,1.7704236989960593e-05
330,1.7674238324770977e-05
331,1.767774427811757e-05
332,1.7645043877441365e-05
333,1.7622465394027093e-05
334,1.763864816724676e-05
335,1.7615140287354006e-05
336,1.7597395450170434e-05
337,1.757475991552425e-05
338,1.754177181250231e-05
339,1.7541038723565407e-05
340,1.7560116952585713e-05
341,1.7491037682260286e-05
342,1.7497922501869035e-05
343,1.748892967802745e-05
344,1.745678182011904e-05
345,1.7429527145527294e-05
346,1.744629483932298e-05
347,1.743799192813061e-05
348,1.7428367247791442e-05
349,1.740503138988033e-05
350,1.7401660395489326e-05
351,1.7406093299128242e-05
352,1.7367031699316286e-05
353,1.735602806637213e-05
354,1.735995849692762e-05
355,1.7315675938075605e-05
356,1.7295316335036785e-05
357,1.7284005901864642e-05
358,1.728815862683311e-05
359,1.726149165838433e-05
360,1.7248444261141297e-05
361,1.723174662523585e-05
362,1.725703219930102e-05
363,1.7205602836505814e-05
364,1.7191018176541298e-05
365,1.7185310933321922e-05
366,1.7165554907987113e-05
367,1.7174031374985965e-05
368,1.716612060726969e-05
369,1.7144713366606025e-05
370,1.710640974071671e-05
371,1.7105740777117656e-05
372,1.711572819821598e-05
373,1.7072281829538265e-05
374,1.7076792464599154e-05
375,1.7063536855041873e-05
376,1.707617857765291e-05
377,1.7053486683759005e-05
378,1.7021328657649732e-05
379,1.7016187422240916e-05
380,1.6992374677031394e-05
381,1.69800812428472e-05
382,1.6959592318099823e-05
383,1.6937810383421366e-05
384,1.6957045582665203e-05
385,1.694312238025463e-05
386,1.6937743635595648e-05
387,1.688571635438118e-05
388,1.6899217349467317e-05
389,1.688557007685609e-05
390,1.685989253120899e-05
391,1.6860072830555705e-05
392,1.6841739714248622e-05
393,1.6836247440106354e-05
394,1.6820190744643867e-05
395,1.681027114681167e-05
396,1.6808150202033647e-05
397,1.6782640019595616e-05
398,1.6795438139449642e-05
399,1.677786829933899e-05
400,1.6748787015666626e-05
401,1.6728809454016175e-05
402,1.6726100075850647e-05
403,1.6726486070804763e-05
404,1.671336455632472e-05
405,1.6699021473772227e-05
406,1.668877125735162e-05
407,1.6660383610702e-05
408,1.667045922232098e-05
409,1.6634067323975717e-05
410,1.6641859735949518e-05
411,1.661551435944182e-05
412,1.661282453313544e-05
413,1.6598279426458564e-05
414,1.657661979227324e-05
415,1.6584552051167423e-05
416,1.6583460430674585e-05
417,1.6550138949942548e-05
418,1.6550533499936925e-05
419,1.6540214323104197e-05
420,1.6532125609668978e-05
421,1.6510974641164487e-05
422,1.651440370052221e-05
423,1.6511176872443373e-05
424,1.649268434854168e-05
425,1.648161100590315e-05
426,1.6458003564029735e-05
427,1.6482442722421676e-05
428,1.6471155067429893e-05
