epoch,train_err
1,0.7976072162118674
2,0.521783986900266
3,0.36435055039706205
4,0.2882130789107533
5,0.25131801875987925
6,0.21923124248705644
7,0.20421955305676237
8,0.1817682747915306
9,0.16438083879944346
10,0.15364738620552573
11,0.14195795591144428
12,0.13406404104078523
13,0.12806315131896528
14,0.11863588607774654
15,0.11467946351667282
16,0.10856499228592252
17,0.1035390105157547
18,0.09880644764365695
19,0.09483109483109484
20,0.09076109076109076
21,0.08748615725359911
22,0.08282931538745492
23,0.07966796338889362
24,0.07620372736651806
25,0.07285307285307285
26,0.06931311582474373
27,0.06676699699955514
28,0.06459001807839017
29,0.062469829911690374
30,0.059791199326083046
31,0.05769940653661584
32,0.05706524311175474
33,0.055456171735241505
34,0.0541973100112635
35,0.05243679662284313
36,0.05067628323442277
37,0.0495499332708635
38,0.04838572280432746
39,0.0476474429962802
40,0.046511627906976744
41,0.04495934728492868
42,0.043861392698602
43,0.043539578423299356
44,0.042337507453786526
45,0.04121115749022726
46,0.04056752893962196
47,0.039649411742435
48,0.03890166680864355
49,0.03852306177887573
50,0.0379646193599682
51,0.036790943767687954
52,0.03657324587557146
53,0.03640287361217594
54,0.035390105157547015
55,0.03503043037926759
56,0.0345855694692904
57,0.0343678715771739
58,0.03377156865528959
59,0.03365798714635924
60,0.03333617287105659
61,0.03297649809277716
62,0.032758800200660666
63,0.03256949768577676
64,0.03231393929068348
65,0.03219089265600893
66,0.03201105526686922
67,0.03176496199752014
68,0.03172710149454336
69,0.03150940360242686
70,0.031253845207333576
71,0.0312065195786126
72,0.031074007818193864
73,0.03070486791417024
74,0.030610216656728285
75,0.030629146908216675
76,0.03038305363886759
77,0.03048717002205374
78,0.030288402381425637
79,0.03005177423782075
80,0.029957122980378795
81,0.029957122980378795
82,0.029739425088262297
83,0.029635308705076146
84,0.029644773830820342
85,0.029237773423819936
86,0.029521727196145802
87,0.02926616880105252
88,0.029067401160424416
89,0.028963284777238266
90,0.029095796537657002
91,0.02899168015447085
92,0.029095796537657002
93,0.028745586885121768
94,0.028726656633633378
95,0.028537354118749466
96,0.028726656633633378
97,0.028395377232586536
98,0.028499493615772687
99,0.02861307512470303
100,0.02833858647812136
