epoch,train_loss
1,7.234909518155606e-05
2,6.651708624229599e-05
3,6.0311851423068414e-05
4,5.5984788256415196e-05
5,5.3031581059265944e-05
6,5.0770551670905474e-05
7,4.890639554553733e-05
8,4.726258273743065e-05
9,4.582387090633102e-05
10,4.457057162979262e-05
11,4.341425727899648e-05
12,4.240925083459318e-05
13,4.147237198831632e-05
14,4.0620945027261084e-05
15,3.985054098813167e-05
16,3.916091437080312e-05
17,3.8535254525569176e-05
18,3.797647820547652e-05
19,3.7449802741257574e-05
20,3.696738314821997e-05
21,3.6518663062031427e-05
22,3.611370298084721e-05
23,3.573102639506356e-05
24,3.538334605043357e-05
25,3.506100364588284e-05
26,3.476045368359222e-05
27,3.44927000697735e-05
28,3.421001817955862e-05
29,3.398436833963186e-05
30,3.3756726925118597e-05
31,3.353572170073384e-05
32,3.333197244653336e-05
33,3.315342183643459e-05
34,3.2964082452280204e-05
35,3.2809650488480237e-05
36,3.265120657662368e-05
37,3.250825284995919e-05
38,3.238394807088464e-05
39,3.224445492632283e-05
40,3.212603434008196e-05
41,3.200935757164079e-05
42,3.190250955276296e-05
43,3.178831851495875e-05
44,3.1701701328354e-05
45,3.1613418284563755e-05
46,3.153965250500353e-05
47,3.144586808108792e-05
48,3.136549201893482e-05
49,3.1290776140668343e-05
50,3.122667898464739e-05
51,3.1153545484708847e-05
52,3.109290714777352e-05
53,3.102791838113713e-05
54,3.097001452773019e-05
55,3.091998176974824e-05
56,3.0874060314649044e-05
57,3.0813791876322115e-05
58,3.077949568516573e-05
59,3.07357653164781e-05
60,3.0683011068403454e-05
61,3.0647410024248915e-05
62,3.059830180122592e-05
63,3.057684349477324e-05
64,3.054287972048266e-05
65,3.0512106451712027e-05
66,3.0483162031053674e-05
67,3.044467101408154e-05
68,3.0423087930096764e-05
69,3.040131921804622e-05
70,3.037032328022149e-05
71,3.0361862490851806e-05
72,3.032891206350434e-05
73,3.030910202814204e-05
74,3.029371261700486e-05
75,3.026834022757234e-05
76,3.0254416315547403e-05
77,3.0243748396310942e-05
78,3.0216479652843092e-05
79,3.0201732367777843e-05
80,3.0191842036028763e-05
81,3.01699294617865e-05
82,3.0171439291962598e-05
83,3.015163190112588e-05
84,3.0134286078777377e-05
85,3.0125896506481648e-05
86,3.0119983444243678e-05
87,3.0113201919804205e-05
88,3.009820546753851e-05
89,3.0086261450112075e-05
90,3.0073705612876893e-05
91,3.0073462448749523e-05
92,3.0059881179089306e-05
93,3.006085194035545e-05
94,3.005404561026601e-05
95,3.0045390906650397e-05
96,3.00283125956948e-05
97,3.0038229478480735e-05
98,3.0022020819763155e-05
99,3.0004558038863195e-05
100,3.000784823418255e-05
