epoch,train_err
1,0.9132805179316807
2,0.7529696832022413
3,0.5833924903692346
4,0.49818742841998653
5,0.4525655223329642
6,0.4184437440251394
7,0.38917757522408686
8,0.36410445712771294
9,0.34578943881269464
10,0.3298596321852136
11,0.3145923843598262
12,0.3019564414913252
13,0.28985054566449914
14,0.28034755941732686
15,0.2710149454335501
16,0.2629885188024723
17,0.2563723959072796
18,0.2507595763409717
19,0.2448060122478727
20,0.24117140396210163
21,0.2357384217849334
22,0.23296513994188414
23,0.22990790432650898
24,0.22657618006455216
25,0.22445599189785237
26,0.22089710461803486
27,0.2184645673017766
28,0.21494354052493586
29,0.21341965528012038
30,0.21036241966474525
31,0.20788255671976602
32,0.2066899508759974
33,0.20330143585957539
34,0.20226027202771388
35,0.19938287380147846
36,0.19811454695175626
37,0.19644868482077785
38,0.1946503109293807
39,0.1935807517202866
40,0.19246386688247152
41,0.191034632895098
42,0.1897663060453758
43,0.1887819329679795
44,0.18779755989058314
45,0.18692676832211716
46,0.18613169775960473
47,0.1849106965386035
48,0.1836802301918581
49,0.18314071802443896
50,0.18294195038381084
51,0.18202383318662388
52,0.18163576303111187
53,0.18065138995371555
54,0.18027278492394772
55,0.17956290049313306
56,0.17955343536738885
57,0.17910857445741166
58,0.17837975977510862
59,0.178010619871085
60,0.17800115474534078
61,0.17741431694920068
62,0.17728180518878192
63,0.1767233627698744
64,0.17667603714115343
65,0.17617438547671105
66,0.17591882708161777
67,0.1758904317043852
68,0.17562540818354772
69,0.17548343129738478
70,0.17489659350124467
71,0.1746315699804072
72,0.1746315699804072
73,0.17448012796850007
74,0.1739974065555461
75,0.17407312756149965
76,0.1739784763040577
77,0.17349575489110372
78,0.17360933640003406
79,0.1735146851425921
80,0.1735430805198247
81,0.17340110363366176
82,0.17348628976535954
83,0.17281426583752166
84,0.1730982196098475
85,0.17314554523856848
86,0.17300356835240557
87,0.17267228895135872
88,0.17298463810091716
89,0.17260603307114936
90,0.17288052171773102
91,0.17246405618498642
92,0.17231261417307928
93,0.17222742804138153
94,0.17211384653245118
95,0.17201919527500922
96,0.1720854511552186
97,0.1722842187958467
98,0.17183935788586951
99,0.17181096250863692
100,0.17173524150268335
